theory,basis,x,y,energy
pbe0,juldz2,1.60,1.90,3.616
pbe0,juldz2,1.60,1.95,6.013
pbe0,juldz2,1.60,2.00,8.306
pbe0,juldz2,1.60,2.05,10.481
pbe0,juldz2,1.60,2.10,12.518
pbe0,juldz2,1.60,2.15,14.404
pbe0,juldz2,1.60,2.20,16.103
pbe0,juldz2,1.60,2.25,17.557
pbe0,juldz2,1.60,2.30,19.457
pbe0,juldz2,1.60,2.35,20.473
pbe0,juldz2,1.60,2.40,21.194
pbe0,juldz2,1.60,2.45,22.718
pbe0,juldz2,1.60,2.50,22.852
pbe0,juldz2,1.60,2.55,22.923
pbe0,juldz2,1.60,2.60,22.076
pbe0,juldz2,1.60,2.65,20.692
pbe0,juldz2,1.60,2.70,20.139
pbe0,juldz2,1.60,2.75,19.792
pbe0,juldz2,1.60,2.80,19.964
pbe0,juldz2,1.60,2.85,20.323
pbe0,juldz2,1.60,2.90,21.136
pbe0,juldz2,1.60,2.95,21.479
pbe0,juldz2,1.60,3.00,21.999
pbe0,juldz2,1.65,1.90,5.241
pbe0,juldz2,1.65,1.95,7.568
pbe0,juldz2,1.65,2.00,9.781
pbe0,juldz2,1.65,2.05,11.858
pbe0,juldz2,1.65,2.10,13.785
pbe0,juldz2,1.65,2.15,15.546
pbe0,juldz2,1.65,2.20,17.116
pbe0,juldz2,1.65,2.25,18.462
pbe0,juldz2,1.65,2.30,19.874
pbe0,juldz2,1.65,2.35,20.706
pbe0,juldz2,1.65,2.40,21.202
pbe0,juldz2,1.65,2.45,19.574
pbe0,juldz2,1.65,2.50,22.636
pbe0,juldz2,1.65,2.55,22.148
pbe0,juldz2,1.65,2.60,21.160
pbe0,juldz2,1.65,2.65,20.237
pbe0,juldz2,1.65,2.70,19.527
pbe0,juldz2,1.65,2.75,19.150
pbe0,juldz2,1.65,2.80,19.088
pbe0,juldz2,1.65,2.85,19.296
pbe0,juldz2,1.65,2.90,19.745
pbe0,juldz2,1.65,2.95,20.412
pbe0,juldz2,1.65,3.00,20.854
pbe0,juldz2,1.70,1.95,9.897
pbe0,juldz2,1.70,2.00,12.006
pbe0,juldz2,1.70,2.05,13.960
pbe0,juldz2,1.70,2.10,15.743
pbe0,juldz2,1.70,2.15,17.336
pbe0,juldz2,1.70,2.20,18.724
pbe0,juldz2,1.70,2.25,19.904
pbe0,juldz2,1.70,2.30,20.840
pbe0,juldz2,1.70,2.35,21.441
pbe0,juldz2,1.70,2.40,20.244
pbe0,juldz2,1.70,2.45,22.282
pbe0,juldz2,1.70,2.50,22.349
pbe0,juldz2,1.70,2.55,21.659
pbe0,juldz2,1.70,2.60,20.638
pbe0,juldz2,1.70,2.65,19.753
pbe0,juldz2,1.70,2.70,19.070
pbe0,juldz2,1.70,2.75,18.647
pbe0,juldz2,1.70,2.80,18.499
pbe0,juldz2,1.70,2.85,18.611
pbe0,juldz2,1.70,2.90,18.963
pbe0,juldz2,1.70,2.95,19.680
pbe0,juldz2,1.70,3.00,20.042
pbe0,juldz2,1.75,1.95,12.775
pbe0,juldz2,1.75,2.00,14.751
pbe0,juldz2,1.75,2.05,16.547
pbe0,juldz2,1.75,2.10,18.138
pbe0,juldz2,1.75,2.15,19.503
pbe0,juldz2,1.75,2.20,20.620
pbe0,juldz2,1.75,2.25,21.467
pbe0,juldz2,1.75,2.30,22.034
pbe0,juldz2,1.75,2.35,22.338
pbe0,juldz2,1.75,2.40,22.571
pbe0,juldz2,1.75,2.45,22.402
pbe0,juldz2,1.75,2.50,22.224
pbe0,juldz2,1.75,2.55,21.407
pbe0,juldz2,1.75,2.60,20.321
pbe0,juldz2,1.75,2.65,19.421
pbe0,juldz2,1.75,2.70,18.727
pbe0,juldz2,1.75,2.75,18.271
pbe0,juldz2,1.75,2.80,18.064
pbe0,juldz2,1.75,2.85,18.100
pbe0,juldz2,1.75,2.90,18.370
pbe0,juldz2,1.75,2.95,19.116
pbe0,juldz2,1.75,3.00,19.396
pbe0,juldz2,1.80,1.95,16.021
pbe0,juldz2,1.80,2.00,17.834
pbe0,juldz2,1.80,2.05,19.425
pbe0,juldz2,1.80,2.10,20.760
pbe0,juldz2,1.80,2.15,21.809
pbe0,juldz2,1.80,2.20,22.545
pbe0,juldz2,1.80,2.25,22.973
pbe0,juldz2,1.80,2.30,23.133
pbe0,juldz2,1.80,2.35,23.100
pbe0,juldz2,1.80,2.40,22.808
pbe0,juldz2,1.80,2.45,22.377
pbe0,juldz2,1.80,2.50,22.004
pbe0,juldz2,1.80,2.55,21.253
pbe0,juldz2,1.80,2.60,20.075
pbe0,juldz2,1.80,2.65,19.146
pbe0,juldz2,1.80,2.70,18.429
pbe0,juldz2,1.80,2.75,17.937
pbe0,juldz2,1.80,2.80,17.679
pbe0,juldz2,1.80,2.85,17.651
pbe0,juldz2,1.80,2.90,17.843
pbe0,juldz2,1.80,2.95,18.229
pbe0,juldz2,1.80,3.00,18.806
pbe0,juldz2,1.85,1.95,19.490
pbe0,juldz2,1.85,2.00,21.098
pbe0,juldz2,1.85,2.05,22.422
pbe0,juldz2,1.85,2.10,23.413
pbe0,juldz2,1.85,2.15,24.023
pbe0,juldz2,1.85,2.20,24.247
pbe0,juldz2,1.85,2.25,24.159
pbe0,juldz2,1.85,2.30,23.887
pbe0,juldz2,1.85,2.35,23.490
pbe0,juldz2,1.85,2.40,22.817
pbe0,juldz2,1.85,2.45,22.187
pbe0,juldz2,1.85,2.50,21.659
pbe0,juldz2,1.85,2.55,21.068
pbe0,juldz2,1.85,2.60,19.829
pbe0,juldz2,1.85,2.65,18.855
pbe0,juldz2,1.85,2.70,18.110
pbe0,juldz2,1.85,2.75,17.584
pbe0,juldz2,1.85,2.80,17.277
pbe0,juldz2,1.85,2.85,17.189
pbe0,juldz2,1.85,2.90,17.313
pbe0,juldz2,1.85,2.95,17.622
pbe0,juldz2,1.85,3.00,18.197
pbe0,juldz2,1.90,1.95,23.060
pbe0,juldz2,1.90,2.00,24.405
