x,y,energy
1.60,1.90,5.321
1.60,1.95,8.054
1.60,2.00,10.680
1.60,2.05,13.191
1.60,2.10,15.498
1.60,2.15,17.622
1.60,2.20,19.605
1.60,2.25,21.296
1.60,2.30,22.904
1.60,2.35,23.946
1.60,2.40,24.875
1.60,2.45,26.247
1.60,2.50,26.739
1.60,2.55,27.186
1.60,2.60,27.458
1.60,2.65,26.372
1.60,2.70,25.973
1.60,2.75,25.822
1.60,2.80,26.200
1.60,2.85,26.760
1.60,2.90,27.022
1.60,2.95,27.408
1.60,3.00,27.997
1.65,1.90,6.900
1.65,1.95,9.564
1.65,2.00,12.101
1.65,2.05,14.533
1.65,2.10,16.733
1.65,2.15,18.762
1.65,2.20,20.521
1.65,2.25,22.013
1.65,2.30,23.274
1.65,2.35,24.184
1.65,2.40,25.021
1.65,2.45,24.191
1.65,2.50,26.422
1.65,2.55,26.904
1.65,2.60,26.519
1.65,2.65,25.863
1.65,2.70,25.292
1.65,2.75,25.106
1.65,2.80,25.247
1.65,2.85,25.552
1.65,2.90,26.088
1.65,2.95,26.194
1.65,3.00,26.731
1.70,1.95,11.806
1.70,2.00,14.288
1.70,2.05,16.541
1.70,2.10,18.613
1.70,2.15,20.441
1.70,2.20,22.013
1.70,2.25,23.273
1.70,2.30,24.198
1.70,2.35,24.915
1.70,2.40,24.565
1.70,2.45,25.488
1.70,2.50,25.746
1.70,2.55,26.452
1.70,2.60,25.801
1.70,2.65,25.141
1.70,2.70,24.626
1.70,2.75,24.382
1.70,2.80,24.401
1.70,2.85,24.642
1.70,2.90,25.087
1.70,2.95,25.174
1.70,3.00,25.689
1.75,1.95,14.621
1.75,2.00,16.965
1.75,2.05,19.051
1.75,2.10,20.926
1.75,2.15,22.516
1.75,2.20,23.745
1.75,2.25,24.649
1.75,2.30,25.356
1.75,2.35,25.745
1.75,2.40,25.644
1.75,2.45,25.638
1.75,2.50,25.731
1.75,2.55,25.996
1.75,2.60,25.268
1.75,2.65,24.580
1.75,2.70,24.046
1.75,2.75,23.717
1.75,2.80,23.640
1.75,2.85,23.763
1.75,2.90,24.159
1.75,2.95,24.247
1.75,3.00,24.655
1.80,1.95,17.803
1.80,2.00,20.008
1.80,2.05,21.895
1.80,2.10,23.509
1.80,2.15,24.785
1.80,2.20,25.643
1.80,2.25,26.120
1.80,2.30,26.372
1.80,2.35,26.439
1.80,2.40,25.835
1.80,2.45,25.573
1.80,2.50,25.454
1.80,2.55,25.487
1.80,2.60,24.679
1.80,2.65,23.935
1.80,2.70,23.376
1.80,2.75,23.013
1.80,2.80,22.890
1.80,2.85,22.961
1.80,2.90,23.205
1.80,2.95,23.712
1.80,3.00,23.697
1.85,1.95,21.219
1.85,2.00,23.241
1.85,2.05,24.905
1.85,2.10,26.179
1.85,2.15,26.959
1.85,2.20,27.246
1.85,2.25,27.217
1.85,2.30,26.999
1.85,2.35,26.352
1.85,2.40,25.762
1.85,2.45,25.304
1.85,2.50,24.947
1.85,2.55,24.791
1.85,2.60,24.052
1.85,2.65,23.274
1.85,2.70,22.670
1.85,2.75,22.275
1.85,2.80,22.088
1.85,2.85,22.115
1.85,2.90,22.258
1.85,2.95,22.670
1.85,3.00,22.667
1.90,1.95,24.765
1.90,2.00,26.566
1.90,2.05,27.871
1.90,2.10,28.621
1.90,2.15,28.761
1.90,2.20,28.385
1.90,2.25,27.793
1.90,2.30,27.231
1.90,2.35,26.237
1.90,2.40,25.383
1.90,2.45,24.738
